ims	Integrated Measurement Systems, Inc.	Beaverton, Oregon
incom	INCOM, Interessengemeinschaft Comput	Germany
incstar	INCSTAR Corp	Stillwater, MN
indep1	Software Services, Inc.	Addison, Illinois
indetech	Independence Technologies	Fremont, CA
indigo	Mese Software	Atlanta, Georgia
indogtw	University of Indonesia, Computer Sc	Indonesia
indri	University of Wisconsin, Wisconsin	Madison, Wisconsin
inesc	Instituto de Engenharia de Sistemas	LISBOA CODEX PORTU
infbs	TU Braunschweig, Institute fuer Info	Germany
infinet	Teleglobe Communications, Inc.	North Andover, MA
infmx	Informix Software, Inc.	Menlo Park, CA
infopro	InfoPro Systems	Rescue, California
infor	Ministerio de la Funcion Publica	ARGENTINA
infoserv	InfoServ Connections (tm)	Los Gatos, CA
infoswx	IEX Corporation	Texas
ingres	ASK Computer Systems/Ingres Product	Alameda, CA
inland	Inland Steel Research Labs	East Chicago, IN
inmet	Intermetrics, Inc	Cambridge, MA
inria	Institut National de Recherche en In	France
insyte	Innovative Systems Techniques	Newton, MA
intacc	Inter/Access	Canada
intek01	Intek	Bellevue, WA
intelca	Intel Corp., Santa Clara Microproces	Santa Clara, CA
intelhf	Intel Corporation, Development Tools	Hillsboro, Oregon
interex	INTEREX The HP International Users	Sunnyvale, CA
interlan	Interlan, Inc., UNIX Development Gro	Boxborough, MA
intermec	Intermec Corporation	Wa USA
intersil	Harris Semiconductor Data Acquisitio	Santa Clara, CA
inthap	Intel Corporation (Sales)	Islandia, New York
introl	Introl Corp.	Milwaukee, WI
intsc	Intel, North West Sales Region	Santa Clara, CA
inttech	Interactive Technology, Incorporated	Beaverton, Oregon
iog	International Investment Group, Inc.	Port Chester, NY
ipars	Spectrum Data Services	Carlsbad, CA
ipc	IPC Pension Services Company, Inc.	Seattle, WA
iphasew	Interphase West	Santa Clara, CA
iquery	IQ Software Corporation	San Antonio, Texas
iros1	Dept. IRO, Universite de Montreal	Quebec
irs3	Internal Revenue Service - Informati	Washington, DC
irscscm	Internal Revenue Service, Computer	Washington, DC
irsx01	Internal Revenue Service - Informati	Washington, DC
isagate	Integrated Systems Applications Corp	Alberta
isc-br	ISC-Bunker Ramo, An Olivetti Company	Liberty Lake, WA
iscuva	ISC Systems Corporation	Liberty Lake, WA
isg100	Information Systems Group Inc.	San Diego, CA
isidoro	Ministerio de Relaciones Exteriores	ARGENTINA
isieng	Integrated Solutions, Inc.	San Jose, CA
isis	U. of Denver, Dept. of Math and Comp	Denver, Colorado
islabs	Integrated Solutions, Inc.	Hillsboro, Oregon
island	Island Graphics Corporation	San Rafael, CA
islenet	Islenet Inc.	Honolulu, Hawaii
ism	Interactive Systems Corporation	Los Angeles, CA
ism780	Interactive Systems Corporation, San	Santa Monica, CA
ism780c	Interactive Systems Corporation	Santa Monica, CA
isrnix	Indiana University, Institute for So	Bloomington, IN
ists	Institute for Space and Terrestrial	Canada
itcatl	DISC ACCESS Products Group, Inc.	Georgia
itcyyz	Reuters Information Services	Canada
itivax	The Industrial Technology Institute	Ann Arbor, MI
iuvax	Indiana University Computer Science	Bloomington, IN
ivucsb	QuickSilver Rallye Team, Santa Barba	Santa Barbara, CA
iwblsys	Intel Corp., West Bloomfield, Michig	West Bloomfield MI
jabber	Bux Technical Services	Doylestown, PA
jack	Systems'n'Software	Fremont, CA
jackknife	Statisics and Operations Research,	Princeton, NJ
jandel	Jandel Scientific Corp.	Corte Madera, CA
jando	Independent Consultant	Springfield, VA
jarsun1	Jordan Apostal Ritter Associates	North Kingstown RI
jartel	Jartel, Inc.	San Diego, CA
jarthur	Harvey Mudd College	Claremont, CA
jato	JPL, Communications and Computing Ne	Pasadena, CA
jc3b21	St. Petersburg Junior College	St Petersburg, FL
jc3b22	St. Petersburg Junior College	St Petersburg, FL
jc3b23	St. Petersburg Junior College	St Petersburg, FL
jcc-one	Jones & Jones / Jones Technologies	Sterling, Colorado
jcnpc	Homebrew Virtual Reality Labs	Columbus, Ohio
jdbbs	JD's Connection	Jenison, Michigan
jdpsys	JDP Computer Systems Inc.	Ontario
jetson	SMART HOUSE Limited Partnership	Upper Marlboro, MD
jfwhome	Funhouse Consultants	Somerville, MA
jho	Software Programming, Inc.	Richardson, Texas
jmegen	UCLA Dept. of Neurology / VA Wadswor	Los Angeles, CA
johnny5	J5 Research	Bothell, WA
jolnet	jolnet, Public Access UNIX, Joliet,	New Lenox, IL
